sample,contig,mge(s),species,type_resistance,AMR,infos_amr,short_name
ERR14783784,NODE_9_length_263326_cov_13.344435,gene:proph:163818;gene:proph:179258;gene:plasmid:124311;gene:proph:179262;gene:proph:179263,Klebsiella grimontii,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_MFS_efflux_pumps,KDEA
ERR14783784,NODE_13_length_224168_cov_14.731509,gene:proph:170892,Klebsiella grimontii,Metals,Copper_resistance,Copper_resistance_protein,COPA
ERR14783784,NODE_13_length_224168_cov_14.731509,gene:proph:170892,Klebsiella grimontii,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,ACRA
ERR14783784,NODE_13_length_224168_cov_14.731509,gene:proph:170892,Klebsiella grimontii,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,SDEY
ERR14783784,NODE_13_length_224168_cov_14.731509,gene:proph:170892,Klebsiella grimontii,Biocides,Multi-biocide_resistance,Multi-biocide_ABC_efflux_pump,SMDA
ERR14783784,NODE_13_length_224168_cov_14.731509,gene:proph:170892,Klebsiella grimontii,Drugs,betalactams,Penicillin_binding_protein,AMPH
ERR14783784,NODE_14_length_217629_cov_11.649360,gene:plasmid:21942;gene:plasmid:153884;gene:plasmid:91800;gene:plasmid:91801;gene:plasmid:153887;gene:plasmid:20177,Klebsiella grimontii,Metals,Iron_resistance,Iron_resistance_protein,YBTP
ERR14783784,NODE_14_length_217629_cov_11.649360,gene:plasmid:21942;gene:plasmid:153884;gene:plasmid:91800;gene:plasmid:91801;gene:plasmid:153887;gene:plasmid:20177,Klebsiella grimontii,Metals,Iron_resistance,Iron_resistance_protein,YBTQ
ERR14783784,NODE_17_length_191141_cov_16.826384,gene:proph:163936;gene:proph:169080,Klebsiella grimontii,Metals,Multi-metal_resistance,Multi-metal_resistance_regulator,MGTA
ERR14783784,NODE_79_length_34472_cov_16.803669,gene:plasmid:123887,Klebsiella grimontii,Drugs,Rifampin,Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB,RPOB
ERR14783400,NODE_70_length_66160_cov_8.539155,gene:proph:170051,Klebsiella grimontii,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_regulator,CPXAR
ERR14783400,NODE_70_length_66160_cov_8.539155,gene:proph:170051,Klebsiella grimontii,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_regulator,CPXAR
ERR14783400,NODE_70_length_66160_cov_8.539155,gene:proph:170051,Klebsiella grimontii,Biocides,Biguanide_resistance,Biguanide_cation_efflux,CEPAB
ERR14783400,NODE_682_length_15955_cov_4.335102,gene:proph:169512,Klebsiella grimontii,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_ABC_efflux_regulator,PHOB
ERR14783400,NODE_682_length_15955_cov_4.335102,gene:proph:169512,Klebsiella grimontii,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_SMR_efflux_regulator,PHOR
ERR14783400,NODE_922_length_12621_cov_10.411157,gene:proph:176833;gene:proph:176835,Klebsiella grimontii,Drugs,Elfamycins,EF-Tu_inhibition,TUFAB
ERR14783400,NODE_922_length_12621_cov_10.411157,gene:proph:176833;gene:proph:176835,Klebsiella grimontii,Drugs,Rifampin,Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB,RPOB
ERR14783400,NODE_5653_length_2184_cov_7.749149,gene:plasmid:153903,Klebsiella grimontii,Metals,Multi-metal_resistance,Multi-metal_RND_efflux_pumps,SILE
ERR14783783,NODE_1_length_801456_cov_14.431333,gene:proph:164876;gene:proph:164876;gene:plasmid:89001;gene:plasmid:21988;gene:plasmid:21989;gene:vir:7358;gene:vir:7358;gene:plasmid:22293,Klebsiella grimontii,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_MATE_efflux_pumps,MDTK
ERR14783783,NODE_1_length_801456_cov_14.431333,gene:proph:164876;gene:proph:164876;gene:plasmid:89001;gene:plasmid:21988;gene:plasmid:21989;gene:vir:7358;gene:vir:7358;gene:plasmid:22293,Klebsiella grimontii,Biocides,Peroxide_resistance,peroxide_resistance_protein,SODB
ERR14783783,NODE_1_length_801456_cov_14.431333,gene:proph:164876;gene:proph:164876;gene:plasmid:89001;gene:plasmid:21988;gene:plasmid:21989;gene:vir:7358;gene:vir:7358;gene:plasmid:22293,Klebsiella grimontii,Metals,Zinc_resistance,Zinc_resistance_protein,ZNUA
ERR14783783,NODE_2_length_448793_cov_15.016462,gene:plasmid:134726;gene:plasmid:134726,Klebsiella grimontii,Multi-compound,Drug_and_biocide_and_metal_resistance,Drug_and_biocide_and_metal_RND_efflux_pumps,MDTB
ERR14783783,NODE_2_length_448793_cov_15.016462,gene:plasmid:134726;gene:plasmid:134726,Klebsiella grimontii,Multi-compound,Drug_and_biocide_and_metal_resistance,Drug_and_biocide_and_metal_RND_efflux_pumps,MDTC
ERR14783783,NODE_2_length_448793_cov_15.016462,gene:plasmid:134726;gene:plasmid:134726,Klebsiella grimontii,Drugs,Fluoroquinolones,Fluoroquinolone-resistant_DNA_topoisomerases,GYRA
ERR14783783,NODE_2_length_448793_cov_15.016462,gene:plasmid:134726;gene:plasmid:134726,Klebsiella grimontii,Drugs,betalactams,Mutant_porin_proteins,OMPK36
ERR14783783,NODE_2_length_448793_cov_15.016462,gene:plasmid:134726;gene:plasmid:134726,Klebsiella grimontii,Drugs,Fosfomycin,Fosfomycin_target_mutation,PTSL
ERR14783783,NODE_2_length_448793_cov_15.016462,gene:plasmid:134726;gene:plasmid:134726,Klebsiella grimontii,Multi-compound,Drug_and_biocide_and_metal_resistance,Drug_and_biocide_and_metal_RND_efflux_pumps,ACRD
ERR14783783,NODE_4_length_324819_cov_15.045058,gene:plasmid:24610,Klebsiella grimontii,Metals,Multi-metal_resistance,Multi-metal_resistance_protein,CORC
ERR14783783,NODE_4_length_324819_cov_15.045058,gene:plasmid:24610,Klebsiella grimontii,Drugs,betalactams,Class_A_betalactamases,OXY
ERR14783783,NODE_5_length_306706_cov_13.613506,gene:plasmid:156052;gene:proph:169464;gene:proph:169512;gene:plasmid:125744;gene:proph:172517,Klebsiella grimontii,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_ABC_efflux_regulator,PHOB
ERR14783783,NODE_5_length_306706_cov_13.613506,gene:plasmid:156052;gene:proph:169464;gene:proph:169512;gene:plasmid:125744;gene:proph:172517,Klebsiella grimontii,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_SMR_efflux_regulator,PHOR
ERR14783783,NODE_5_length_306706_cov_13.613506,gene:plasmid:156052;gene:proph:169464;gene:proph:169512;gene:plasmid:125744;gene:proph:172517,Klebsiella grimontii,Biocides,Phenolic_compound_resistance,Triclosan-resistant_mutation,FABG
ERR14783783,NODE_6_length_306022_cov_12.560251,gene:plasmid:119871;gene:plasmid:154014;gene:plasmid:149415;gene:plasmid:93494;gene:plasmid:93486,Klebsiella grimontii,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,OQXA
ERR14783783,NODE_6_length_306022_cov_12.560251,gene:plasmid:119871;gene:plasmid:154014;gene:plasmid:149415;gene:plasmid:93494;gene:plasmid:93486,Klebsiella grimontii,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,OQXB
ERR14783783,NODE_6_length_306022_cov_12.560251,gene:plasmid:119871;gene:plasmid:154014;gene:plasmid:149415;gene:plasmid:93494;gene:plasmid:93486,Klebsiella grimontii,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_MFS_efflux_pumps,KMRA
ERR14783783,NODE_8_length_270784_cov_18.704486,gene:plasmid:151260,Klebsiella grimontii,Drugs,Lipopeptides,Colistin_phosphoethanolamine_transferase,EPTB
ERR14783783,NODE_8_length_270784_cov_18.704486,gene:plasmid:151260,Klebsiella grimontii,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_regulator,CRP
ERR14783783,NODE_8_length_270784_cov_18.704486,gene:plasmid:151260,Klebsiella grimontii,Drugs,Lipopeptides,Colistin_phosphoethanolamine_transferase,ARNT
ERR14783783,NODE_8_length_270784_cov_18.704486,gene:plasmid:151260,Klebsiella grimontii,Metals,Nickel_resistance,Nickel_ABC_efflux_pumps,NIKC
ERR14783783,NODE_8_length_270784_cov_18.704486,gene:plasmid:151260,Klebsiella grimontii,Metals,Multi-metal_resistance,Multi-metal_resistance_protein,PITA
ERR14783783,NODE_8_length_270784_cov_18.704486,gene:plasmid:151260,Klebsiella grimontii,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,RPSL
ERR14783783,NODE_8_length_270784_cov_18.704486,gene:plasmid:151260,Klebsiella grimontii,Drugs,Elfamycins,EF-Tu_inhibition,TUFAB
ERR14783783,NODE_9_length_263326_cov_14.320438,gene:proph:163818;gene:proph:179258;gene:plasmid:124311;gene:proph:179262;gene:proph:179263,Klebsiella grimontii,Drugs,Multi-drug_resistance,MDR_mutant_porin_proteins,OMPK
ERR14783783,NODE_9_length_263326_cov_14.320438,gene:proph:163818;gene:proph:179258;gene:plasmid:124311;gene:proph:179262;gene:proph:179263,Klebsiella grimontii,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_MFS_efflux_pumps,KDEA
ERR14783783,NODE_11_length_224168_cov_15.982584,gene:proph:170892,Klebsiella grimontii,Metals,Copper_resistance,Copper_resistance_protein,COPA
ERR14783783,NODE_11_length_224168_cov_15.982584,gene:proph:170892,Klebsiella grimontii,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,ACRA
ERR14783783,NODE_11_length_224168_cov_15.982584,gene:proph:170892,Klebsiella grimontii,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,SDEY
ERR14783783,NODE_11_length_224168_cov_15.982584,gene:proph:170892,Klebsiella grimontii,Biocides,Multi-biocide_resistance,Multi-biocide_ABC_efflux_pump,SMDA
ERR14783783,NODE_11_length_224168_cov_15.982584,gene:proph:170892,Klebsiella grimontii,Drugs,betalactams,Penicillin_binding_protein,AMPH
ERR14783783,NODE_12_length_217629_cov_12.735138,gene:plasmid:21942;gene:plasmid:153884;gene:plasmid:153885;gene:plasmid:153886;gene:plasmid:91802;gene:plasmid:20177,Klebsiella grimontii,Metals,Iron_resistance,Iron_resistance_protein,YBTP
ERR14783783,NODE_12_length_217629_cov_12.735138,gene:plasmid:21942;gene:plasmid:153884;gene:plasmid:153885;gene:plasmid:153886;gene:plasmid:91802;gene:plasmid:20177,Klebsiella grimontii,Metals,Iron_resistance,Iron_resistance_protein,YBTQ
ERR14783783,NODE_14_length_191183_cov_18.308004,gene:proph:163854;gene:proph:169080,Klebsiella grimontii,Metals,Multi-metal_resistance,Multi-metal_resistance_regulator,MGTA
ERR14783783,NODE_53_length_39538_cov_18.983862,gene:proph:176833;gene:proph:176835;gene:plasmid:123887,Klebsiella grimontii,Drugs,Elfamycins,EF-Tu_inhibition,TUFAB
ERR14783783,NODE_53_length_39538_cov_18.983862,gene:proph:176833;gene:proph:176835;gene:plasmid:123887,Klebsiella grimontii,Drugs,Rifampin,Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB,RPOB
ERR14783786,NODE_685_length_9805_cov_1.425294,gene:proph:169464;gene:proph:169512,Klebsiella grimontii,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_ABC_efflux_regulator,PHOB
ERR14783786,NODE_685_length_9805_cov_1.425294,gene:proph:169464;gene:proph:169512,Klebsiella grimontii,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_SMR_efflux_regulator,PHOR
ERR14783402,NODE_3121_length_2323_cov_0.443534,gene:plasmid:139674,Klebsiella grimontii,Metals,Multi-metal_resistance,Multi-metal_RND_efflux_pumps,SILE
ERR14783433,NODE_2_length_226465_cov_2.710583,gene:proph:170892,Klebsiella grimontii,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,ACRA
ERR14783433,NODE_2_length_226465_cov_2.710583,gene:proph:170892,Klebsiella grimontii,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,SDEY
ERR14783433,NODE_2_length_226465_cov_2.710583,gene:proph:170892,Klebsiella grimontii,Biocides,Multi-biocide_resistance,Multi-biocide_ABC_efflux_pump,SMDA
ERR14783433,NODE_2_length_226465_cov_2.710583,gene:proph:170892,Klebsiella grimontii,Drugs,betalactams,Penicillin_binding_protein,AMPH
ERR14783433,NODE_3_length_209386_cov_2.473920,gene:plasmid:134726,Klebsiella grimontii,Drugs,Fluoroquinolones,Fluoroquinolone-resistant_DNA_topoisomerases,GYRA
ERR14783433,NODE_3_length_209386_cov_2.473920,gene:plasmid:134726,Klebsiella grimontii,Drugs,betalactams,Mutant_porin_proteins,OMPK36
ERR14783433,NODE_12_length_164520_cov_2.561399,gene:proph:163979,Klebsiella grimontii,Drugs,Fosfomycin,Fosfomycin_target_mutation,PTSL
ERR14783433,NODE_12_length_164520_cov_2.561399,gene:proph:163979,Klebsiella grimontii,Multi-compound,Drug_and_biocide_and_metal_resistance,Drug_and_biocide_and_metal_RND_efflux_pumps,ACRD
ERR14783433,NODE_28_length_102723_cov_2.094068,gene:proph:172517;gene:plasmid:156052;gene:proph:169464;gene:proph:169512,Klebsiella grimontii,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_ABC_efflux_regulator,PHOB
ERR14783433,NODE_28_length_102723_cov_2.094068,gene:proph:172517;gene:plasmid:156052;gene:proph:169464;gene:proph:169512,Klebsiella grimontii,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_SMR_efflux_regulator,PHOR
ERR14783433,NODE_31_length_99205_cov_2.282384,gene:proph:163818,Klebsiella grimontii,Drugs,betalactams,Mutant_porin_proteins,OMPA
ERR14783433,NODE_31_length_99205_cov_2.282384,gene:proph:163818,Klebsiella grimontii,Drugs,Multi-drug_resistance,MDR_mutant_porin_proteins,OMPK
ERR14783433,NODE_34_length_91225_cov_2.315583,gene:plasmid:124311,Klebsiella grimontii,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_MFS_efflux_pumps,KDEA
ERR14783433,NODE_37_length_83375_cov_2.134754,gene:plasmid:125744,Klebsiella grimontii,Biocides,Phenolic_compound_resistance,Triclosan-resistant_mutation,FABG
ERR14783433,NODE_102_length_34464_cov_3.133093,gene:plasmid:123887,Klebsiella grimontii,Drugs,Rifampin,Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB,RPOB
ERR14783785,NODE_1_length_755740_cov_18.521485,gene:proph:164876;gene:plasmid:89001;gene:plasmid:21988;gene:plasmid:21989;gene:vir:7358;gene:plasmid:22293,Klebsiella grimontii,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_MATE_efflux_pumps,MDTK
ERR14783785,NODE_1_length_755740_cov_18.521485,gene:proph:164876;gene:plasmid:89001;gene:plasmid:21988;gene:plasmid:21989;gene:vir:7358;gene:plasmid:22293,Klebsiella grimontii,Biocides,Peroxide_resistance,peroxide_resistance_protein,SODB
ERR14783785,NODE_1_length_755740_cov_18.521485,gene:proph:164876;gene:plasmid:89001;gene:plasmid:21988;gene:plasmid:21989;gene:vir:7358;gene:plasmid:22293,Klebsiella grimontii,Metals,Zinc_resistance,Zinc_resistance_protein,ZNUA
ERR14783785,NODE_3_length_448793_cov_19.944228,gene:plasmid:134726;gene:plasmid:134726,Klebsiella grimontii,Multi-compound,Drug_and_biocide_and_metal_resistance,Drug_and_biocide_and_metal_RND_efflux_pumps,MDTB
ERR14783785,NODE_3_length_448793_cov_19.944228,gene:plasmid:134726;gene:plasmid:134726,Klebsiella grimontii,Multi-compound,Drug_and_biocide_and_metal_resistance,Drug_and_biocide_and_metal_RND_efflux_pumps,MDTC
ERR14783785,NODE_3_length_448793_cov_19.944228,gene:plasmid:134726;gene:plasmid:134726,Klebsiella grimontii,Drugs,Fluoroquinolones,Fluoroquinolone-resistant_DNA_topoisomerases,GYRA
ERR14783785,NODE_3_length_448793_cov_19.944228,gene:plasmid:134726;gene:plasmid:134726,Klebsiella grimontii,Drugs,betalactams,Mutant_porin_proteins,OMPK36
ERR14783785,NODE_3_length_448793_cov_19.944228,gene:plasmid:134726;gene:plasmid:134726,Klebsiella grimontii,Drugs,Fosfomycin,Fosfomycin_target_mutation,PTSL
ERR14783785,NODE_3_length_448793_cov_19.944228,gene:plasmid:134726;gene:plasmid:134726,Klebsiella grimontii,Multi-compound,Drug_and_biocide_and_metal_resistance,Drug_and_biocide_and_metal_RND_efflux_pumps,ACRD
ERR14783785,NODE_4_length_324819_cov_19.989067,gene:plasmid:24610,Klebsiella grimontii,Metals,Multi-metal_resistance,Multi-metal_resistance_protein,CORC
ERR14783785,NODE_4_length_324819_cov_19.989067,gene:plasmid:24610,Klebsiella grimontii,Drugs,betalactams,Class_A_betalactamases,OXY
ERR14783785,NODE_5_length_306706_cov_18.458286,gene:plasmid:156052;gene:proph:169464;gene:proph:169512;gene:plasmid:125744;gene:proph:172517,Klebsiella grimontii,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_ABC_efflux_regulator,PHOB
ERR14783785,NODE_5_length_306706_cov_18.458286,gene:plasmid:156052;gene:proph:169464;gene:proph:169512;gene:plasmid:125744;gene:proph:172517,Klebsiella grimontii,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_SMR_efflux_regulator,PHOR
ERR14783785,NODE_5_length_306706_cov_18.458286,gene:plasmid:156052;gene:proph:169464;gene:proph:169512;gene:plasmid:125744;gene:proph:172517,Klebsiella grimontii,Biocides,Phenolic_compound_resistance,Triclosan-resistant_mutation,FABG
ERR14783785,NODE_6_length_306022_cov_17.514222,gene:plasmid:119871;gene:plasmid:154014;gene:plasmid:149415;gene:plasmid:93494;gene:plasmid:93486,Klebsiella grimontii,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,OQXA
ERR14783785,NODE_6_length_306022_cov_17.514222,gene:plasmid:119871;gene:plasmid:154014;gene:plasmid:149415;gene:plasmid:93494;gene:plasmid:93486,Klebsiella grimontii,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,OQXB
ERR14783785,NODE_6_length_306022_cov_17.514222,gene:plasmid:119871;gene:plasmid:154014;gene:plasmid:149415;gene:plasmid:93494;gene:plasmid:93486,Klebsiella grimontii,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_MFS_efflux_pumps,KMRA
ERR14783785,NODE_8_length_270784_cov_22.753925,gene:plasmid:151260,Klebsiella grimontii,Drugs,Lipopeptides,Colistin_phosphoethanolamine_transferase,EPTB
ERR14783785,NODE_8_length_270784_cov_22.753925,gene:plasmid:151260,Klebsiella grimontii,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_regulator,CRP
ERR14783785,NODE_8_length_270784_cov_22.753925,gene:plasmid:151260,Klebsiella grimontii,Drugs,Lipopeptides,Colistin_phosphoethanolamine_transferase,ARNT
ERR14783785,NODE_8_length_270784_cov_22.753925,gene:plasmid:151260,Klebsiella grimontii,Metals,Nickel_resistance,Nickel_ABC_efflux_pumps,NIKC
ERR14783785,NODE_8_length_270784_cov_22.753925,gene:plasmid:151260,Klebsiella grimontii,Metals,Multi-metal_resistance,Multi-metal_resistance_protein,PITA
ERR14783785,NODE_8_length_270784_cov_22.753925,gene:plasmid:151260,Klebsiella grimontii,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,RPSL
ERR14783785,NODE_8_length_270784_cov_22.753925,gene:plasmid:151260,Klebsiella grimontii,Drugs,Elfamycins,EF-Tu_inhibition,TUFAB
ERR14783785,NODE_9_length_263326_cov_19.329975,gene:proph:163818;gene:proph:179258;gene:plasmid:124311;gene:proph:179262;gene:proph:179263,Klebsiella grimontii,Drugs,Multi-drug_resistance,MDR_mutant_porin_proteins,OMPK
ERR14783785,NODE_9_length_263326_cov_19.329975,gene:proph:163818;gene:proph:179258;gene:plasmid:124311;gene:proph:179262;gene:proph:179263,Klebsiella grimontii,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_MFS_efflux_pumps,KDEA
ERR14783785,NODE_13_length_224168_cov_20.703010,gene:proph:170892,Klebsiella grimontii,Metals,Copper_resistance,Copper_resistance_protein,COPA
ERR14783785,NODE_13_length_224168_cov_20.703010,gene:proph:170892,Klebsiella grimontii,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,ACRA
ERR14783785,NODE_13_length_224168_cov_20.703010,gene:proph:170892,Klebsiella grimontii,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,SDEY
ERR14783785,NODE_13_length_224168_cov_20.703010,gene:proph:170892,Klebsiella grimontii,Biocides,Multi-biocide_resistance,Multi-biocide_ABC_efflux_pump,SMDA
ERR14783785,NODE_13_length_224168_cov_20.703010,gene:proph:170892,Klebsiella grimontii,Drugs,betalactams,Penicillin_binding_protein,AMPH
ERR14783785,NODE_15_length_191183_cov_22.447241,gene:proph:163936;gene:proph:169080,Klebsiella grimontii,Metals,Multi-metal_resistance,Multi-metal_resistance_regulator,MGTA
ERR14783785,NODE_17_length_159731_cov_17.968998,gene:plasmid:153884;gene:plasmid:153885;gene:plasmid:91801;gene:plasmid:91802;gene:plasmid:20177,Klebsiella grimontii,Metals,Iron_resistance,Iron_resistance_protein,YBTP
ERR14783785,NODE_17_length_159731_cov_17.968998,gene:plasmid:153884;gene:plasmid:153885;gene:plasmid:91801;gene:plasmid:91802;gene:plasmid:20177,Klebsiella grimontii,Metals,Iron_resistance,Iron_resistance_protein,YBTQ
ERR14783785,NODE_39_length_39538_cov_23.006902,gene:proph:176833;gene:proph:176835;gene:plasmid:123887,Klebsiella grimontii,Drugs,Elfamycins,EF-Tu_inhibition,TUFAB
ERR14783785,NODE_39_length_39538_cov_23.006902,gene:proph:176833;gene:proph:176835;gene:plasmid:123887,Klebsiella grimontii,Drugs,Rifampin,Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB,RPOB
ERR14783400,NODE_5326_length_2317_cov_1.160274,gene:plasmid:91925,Klebsiella michiganensis,Metals,Arsenic_resistance,Arsenic_resistance_protein,ARSB
ERR14783400,NODE_6676_length_1871_cov_0.704128,gene:plasmid:20178,Klebsiella michiganensis,Drugs,Aminoglycosides,Aminoglycoside_O-phosphotransferases,APH3-DPRIME
ERR14783400,NODE_467_length_21624_cov_6.559520,gene:plasmid:156053;gene:plasmid:88463;gene:plasmid:155952;gene:plasmid:88462;gene:plasmid:88461;gene:plasmid:156035;gene:plasmid:88459,Klebsiella ornithinolytica,Metals,Multi-metal_resistance,Multi-metal_MFS_efflux_pumps,NCRC
ERR14783400,NODE_467_length_21624_cov_6.559520,gene:plasmid:156053;gene:plasmid:88463;gene:plasmid:155952;gene:plasmid:88462;gene:plasmid:88461;gene:plasmid:156035;gene:plasmid:88459,Klebsiella ornithinolytica,Metals,Nickel_resistance,Nickel_resistance_protein,NIRC
ERR14783509,NODE_2586_length_1590_cov_0.490089,gene:plasmid:147466,Klebsiella ornithinolytica,Metals,Mercury_resistance,Mercury_resistance_regulator,MERD
ERR14783509,NODE_2586_length_1590_cov_0.490089,gene:plasmid:147466,Klebsiella ornithinolytica,Metals,Mercury_resistance,Mercury_resistance_protein,MERE
ERR14783787,NODE_229_length_35105_cov_23.573189,gene:plasmid:88316;gene:plasmid:153906;gene:plasmid:154026;gene:plasmid:155972;gene:plasmid:88465;gene:plasmid:88464;gene:plasmid:155925;gene:plasmid:153903,Klebsiella ornithinolytica,Metals,Multi-metal_resistance,Multi-metal_RND_efflux_pumps,SILC
ERR14783787,NODE_229_length_35105_cov_23.573189,gene:plasmid:88316;gene:plasmid:153906;gene:plasmid:154026;gene:plasmid:155972;gene:plasmid:88465;gene:plasmid:88464;gene:plasmid:155925;gene:plasmid:153903,Klebsiella ornithinolytica,Metals,Multi-metal_resistance,Multi-metal_RND_efflux_pumps,SILF
ERR14783787,NODE_229_length_35105_cov_23.573189,gene:plasmid:88316;gene:plasmid:153906;gene:plasmid:154026;gene:plasmid:155972;gene:plasmid:88465;gene:plasmid:88464;gene:plasmid:155925;gene:plasmid:153903,Klebsiella ornithinolytica,Metals,Multi-metal_resistance,Multi-metal_RND_efflux_pumps,SILB
ERR14783787,NODE_229_length_35105_cov_23.573189,gene:plasmid:88316;gene:plasmid:153906;gene:plasmid:154026;gene:plasmid:155972;gene:plasmid:88465;gene:plasmid:88464;gene:plasmid:155925;gene:plasmid:153903,Klebsiella ornithinolytica,Metals,Multi-metal_resistance,Multi-metal_RND_efflux_pumps,SILA
ERR14783787,NODE_229_length_35105_cov_23.573189,gene:plasmid:88316;gene:plasmid:153906;gene:plasmid:154026;gene:plasmid:155972;gene:plasmid:88465;gene:plasmid:88464;gene:plasmid:155925;gene:plasmid:153903,Klebsiella ornithinolytica,Metals,Multi-metal_resistance,Multi-metal_RND_efflux_pumps,SILP
ERR14783787,NODE_229_length_35105_cov_23.573189,gene:plasmid:88316;gene:plasmid:153906;gene:plasmid:154026;gene:plasmid:155972;gene:plasmid:88465;gene:plasmid:88464;gene:plasmid:155925;gene:plasmid:153903,Klebsiella ornithinolytica,Metals,Copper_resistance,Copper_resistance_protein,PCOA
ERR14783787,NODE_229_length_35105_cov_23.573189,gene:plasmid:88316;gene:plasmid:153906;gene:plasmid:154026;gene:plasmid:155972;gene:plasmid:88465;gene:plasmid:88464;gene:plasmid:155925;gene:plasmid:153903,Klebsiella ornithinolytica,Metals,Copper_resistance,Copper_resistance_protein,PCOB
ERR14783787,NODE_229_length_35105_cov_23.573189,gene:plasmid:88316;gene:plasmid:153906;gene:plasmid:154026;gene:plasmid:155972;gene:plasmid:88465;gene:plasmid:88464;gene:plasmid:155925;gene:plasmid:153903,Klebsiella ornithinolytica,Metals,Copper_resistance,Copper_resistance_protein,PCOC
ERR14783787,NODE_229_length_35105_cov_23.573189,gene:plasmid:88316;gene:plasmid:153906;gene:plasmid:154026;gene:plasmid:155972;gene:plasmid:88465;gene:plasmid:88464;gene:plasmid:155925;gene:plasmid:153903,Klebsiella ornithinolytica,Metals,Copper_resistance,Copper_resistance_protein,PCOD
ERR14783787,NODE_229_length_35105_cov_23.573189,gene:plasmid:88316;gene:plasmid:153906;gene:plasmid:154026;gene:plasmid:155972;gene:plasmid:88465;gene:plasmid:88464;gene:plasmid:155925;gene:plasmid:153903,Klebsiella ornithinolytica,Metals,Copper_resistance,Copper_resistance_regulator,PCOR
ERR14783787,NODE_229_length_35105_cov_23.573189,gene:plasmid:88316;gene:plasmid:153906;gene:plasmid:154026;gene:plasmid:155972;gene:plasmid:88465;gene:plasmid:88464;gene:plasmid:155925;gene:plasmid:153903,Klebsiella ornithinolytica,Metals,Copper_resistance,Copper_resistance_regulator,PCOS
ERR14783787,NODE_229_length_35105_cov_23.573189,gene:plasmid:88316;gene:plasmid:153906;gene:plasmid:154026;gene:plasmid:155972;gene:plasmid:88465;gene:plasmid:88464;gene:plasmid:155925;gene:plasmid:153903,Klebsiella ornithinolytica,Metals,Multi-metal_resistance,Multi-metal_resistance_regulator,PCOE
ERR14783787,NODE_229_length_35105_cov_23.573189,gene:plasmid:88316;gene:plasmid:153906;gene:plasmid:154026;gene:plasmid:155972;gene:plasmid:88465;gene:plasmid:88464;gene:plasmid:155925;gene:plasmid:153903,Klebsiella ornithinolytica,Metals,Multi-metal_resistance,Multi-metal_RND_efflux_pumps,SILP
